MSA_MD_Code,MSA_MD_Name
20820,"Effingham, IL (MSA)"
20900,"El Campo, TX (MSA)"
20940,"El Centro, CA (MSA)"
20980,"El Dorado, AR (MSA)"
20994,"Elgin, IL (MD)"
21020,"Elizabeth City, NC (MSA)"
21060,"Elizabethtown-Fort Knox, KY (MSA)"
21120,"Elk City, OK (MSA)"
21140,"Elkhart-Goshen, IN (MSA)"
21180,"Elkins, WV (MSA)"
21220,"Elko, NV (MSA)"
21260,"Ellensburg, WA (MSA)"
21300,"Elmira, NY (MSA)"
21340,"El Paso, TX (MSA)"
21380,"Emporia, KS (MSA)"
21420,"Enid, OK (MSA)"
21460,"Enterprise, AL (MSA)"
21500,"Erie, PA (MSA)"
21540,"Escanaba, MI (MSA)"
21580,"Española, NM (MSA)"
21640,"Eufaula, AL-GA (MSA)"
21660,"Eugene-Springfield, OR (MSA)"
21700,"Eureka-Arcata, CA (MSA)"
21740,"Evanston, WY (MSA)"
21780,"Evansville, IN-KY (MSA)"
21820,"Fairbanks, AK (MSA)"
21840,"Fairfield, IA (MSA)"
21860,"Fairmont, MN (MSA)"
21900,"Fairmont, WV (MSA)"
21980,"Fallon, NV (MSA)"
22020,"Fargo, ND-MN (MSA)"
22060,"Faribault-Northfield, MN (MSA)"
22100,"Farmington, MO (MSA)"
22140,"Farmington, NM (MSA)"
22180,"Fayetteville, NC (MSA)"
22220,"Fayetteville-Springdale-Rogers, AR (MSA)"
22260,"Fergus Falls, MN (MSA)"
22280,"Fernley, NV (MSA)"
22300,"Findlay, OH (MSA)"
22340,"Fitzgerald, GA (MSA)"
22380,"Flagstaff, AZ (MSA)"
22420,"Flint, MI (MSA)"
22500,"Florence, SC (MSA)"
22520,"Florence-Muscle Shoals, AL (MSA)"
22540,"Fond du Lac, WI (MSA)"
22580,"Forest City, NC (MSA)"
22620,"Forrest City, AR (MSA)"
22660,"Fort Collins, CO (MSA)"
22700,"Fort Dodge, IA (MSA)"
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL (MD)"
22780,"Fort Leonard Wood, MO (MSA)"
22800,"Fort Madison-Keokuk, IA-IL-MO (MSA)"
22820,"Fort Morgan, CO (MSA)"
22840,"Fort Payne, AL (MSA)"
22860,"Fort Polk South, LA (MSA)"
22900,"Fort Smith, AR-OK (MSA)"
23060,"Fort Wayne, IN (MSA)"
23104,"Fort Worth-Arlington-Grapevine, TX (MD)"
23140,"Frankfort, IN (MSA)"
23180,"Frankfort, KY (MSA)"
23224,"Frederick-Gaithersburg-Rockville, MD (MD)"
23240,"Fredericksburg, TX (MSA)"
23300,"Freeport, IL (MSA)"
23340,"Fremont, NE (MSA)"
23380,"Fremont, OH (MSA)"
23420,"Fresno, CA (MSA)"
23460,"Gadsden, AL (MSA)"
23500,"Gaffney, SC (MSA)"
23540,"Gainesville, FL (MSA)"
23580,"Gainesville, GA (MSA)"
23620,"Gainesville, TX (MSA)"
23660,"Galesburg, IL (MSA)"
23700,"Gallup, NM (MSA)"
23780,"Garden City, KS (MSA)"
23820,"Gardnerville Ranchos, NV (MSA)"
23844,"Gary, IN (MD)"
23860,"Georgetown, SC (MSA)"
23900,"Gettysburg, PA (MSA)"
23940,"Gillette, WY (MSA)"
23980,"Glasgow, KY (MSA)"
24020,"Glens Falls, NY (MSA)"
24060,"Glenwood Springs, CO (MSA)"
24100,"Gloversville, NY (MSA)"
24140,"Goldsboro, NC (MSA)"
24180,"Granbury, TX (MSA)"
24220,"Grand Forks, ND-MN (MSA)"
24260,"Grand Island, NE (MSA)"
24300,"Grand Junction, CO (MSA)"
24330,"Grand Rapids, MN (MSA)"
24340,"Grand Rapids-Kentwood, MI (MSA)"
24380,"Grants, NM (MSA)"
24420,"Grants Pass, OR (MSA)"
24460,"Great Bend, KS (MSA)"
24500,"Great Falls, MT (MSA)"
24540,"Greeley, CO (MSA)"
24580,"Green Bay, WI (MSA)"
24620,"Greeneville, TN (MSA)"
24660,"Greensboro-High Point, NC (MSA)"
24700,"Greensburg, IN (MSA)"
24740,"Greenville, MS (MSA)"
24780,"Greenville, NC (MSA)"
24820,"Greenville, OH (MSA)"
24860,"Greenville-Anderson, SC (MSA)"
24900,"Greenwood, MS (MSA)"
24940,"Greenwood, SC (MSA)"
24980,"Grenada, MS (MSA)"
25020,"Guayama, PR (MSA)"
25060,"Gulfport-Biloxi, MS (MSA)"
25100,"Guymon, OK (MSA)"
25180,"Hagerstown-Martinsburg, MD-WV (MSA)"
25200,"Hailey, ID (MSA)"
25220,"Hammond, LA (MSA)"
25260,"Hanford-Corcoran, CA (MSA)"
25300,"Hannibal, MO (MSA)"
25420,"Harrisburg-Carlisle, PA (MSA)"
25460,"Harrison, AR (MSA)"
25500,"Harrisonburg, VA (MSA)"
25540,"Hartford-East Hartford-Middletown, CT (MSA)"
25580,"Hastings, NE (MSA)"
25620,"Hattiesburg, MS (MSA)"
25700,"Hays, KS (MSA)"
25720,"Heber, UT (MSA)"
25740,"Helena, MT (MSA)"
25760,"Helena-West Helena, AR (MSA)"
25780,"Henderson, NC (MSA)"
25820,"Hereford, TX (MSA)"
25840,"Hermiston-Pendleton, OR (MSA)"
25860,"Hickory-Lenoir-Morganton, NC (MSA)"
25880,"Hillsdale, MI (MSA)"
25900,"Hilo, HI (MSA)"
25940,"Hilton Head Island-Bluffton, SC (MSA)"
25980,"Hinesville, GA (MSA)"
26020,"Hobbs, NM (MSA)"
26090,"Holland, MI (MSA)"
26140,"Homosassa Springs, FL (MSA)"
26220,"Hood River, OR (MSA)"
26260,"Hope, AR (MSA)"
26300,"Hot Springs, AR (MSA)"
26340,"Houghton, MI (MSA)"
26380,"Houma-Thibodaux, LA (MSA)"
26420,"Houston-The Woodlands-Sugar Land, TX (MSA)"
26460,"Hudson, NY (MSA)"
26500,"Huntingdon, PA (MSA)"
26540,"Huntington, IN (MSA)"
26580,"Huntington-Ashland, WV-KY-OH (MSA)"
26620,"Huntsville, AL (MSA)"
26660,"Huntsville, TX (MSA)"
26700,"Huron, SD (MSA)"
26740,"Hutchinson, KS (MSA)"
26780,"Hutchinson, MN (MSA)"
26820,"Idaho Falls, ID (MSA)"
26860,"Indiana, PA (MSA)"
26900,"Indianapolis-Carmel-Anderson, IN (MSA)"
26940,"Indianola, MS (MSA)"
26980,"Iowa City, IA (MSA)"
27020,"Iron Mountain, MI-WI (MSA)"
27060,"Ithaca, NY (MSA)"
27100,"Jackson, MI (MSA)"
27140,"Jackson, MS (MSA)"
27160,"Jackson, OH (MSA)"
27180,"Jackson, TN (MSA)"
27220,"Jackson, WY-ID (MSA)"
27260,"Jacksonville, FL (MSA)"
27300,"Jacksonville, IL (MSA)"
27340,"Jacksonville, NC (MSA)"
27380,"Jacksonville, TX (MSA)"
27420,"Jamestown, ND (MSA)"
27460,"Jamestown-Dunkirk-Fredonia, NY (MSA)"
27500,"Janesville-Beloit, WI (MSA)"
27530,"Jasper, AL (MSA)"
27540,"Jasper, IN (MSA)"
27580,"Jayuya, PR (MSA)"
27600,"Jefferson, GA (MSA)"
27620,"Jefferson City, MO (MSA)"
27660,"Jennings, LA (MSA)"
27700,"Jesup, GA (MSA)"
27740,"Johnson City, TN (MSA)"
27780,"Johnstown, PA (MSA)"
27860,"Jonesboro, AR (MSA)"
27900,"Joplin, MO (MSA)"
27940,"Juneau, AK (MSA)"
27980,"Kahului-Wailuku-Lahaina, HI (MSA)"
28020,"Kalamazoo-Portage, MI (MSA)"
28060,"Kalispell, MT (MSA)"
28100,"Kankakee, IL (MSA)"
28140,"Kansas City, MO-KS (MSA)"
28180,"Kapaa, HI (MSA)"
28260,"Kearney, NE (MSA)"
28300,"Keene, NH (MSA)"
28340,"Kendallville, IN (MSA)"
28380,"Kennett, MO (MSA)"
28420,"Kennewick-Richland, WA (MSA)"
28500,"Kerrville, TX (MSA)"
28540,"Ketchikan, AK (MSA)"
28580,"Key West, FL (MSA)"
28620,"Kill Devil Hills, NC (MSA)"
28660,"Killeen-Temple, TX (MSA)"
28700,"Kingsport-Bristol, TN-VA (MSA)"
28740,"Kingston, NY (MSA)"
28780,"Kingsville, TX (MSA)"
28820,"Kinston, NC (MSA)"
28860,"Kirksville, MO (MSA)"
28900,"Klamath Falls, OR (MSA)"
28940,"Knoxville, TN (MSA)"
29020,"Kokomo, IN (MSA)"
29060,"Laconia, NH (MSA)"
29100,"La Crosse-Onalaska, WI-MN (MSA)"
29180,"Lafayette, LA (MSA)"
29200,"Lafayette-West Lafayette, IN (MSA)"
29260,"La Grande, OR (MSA)"
29300,"LaGrange, GA-AL (MSA)"
29340,"Lake Charles, LA (MSA)"
29380,"Lake City, FL (MSA)"
